name,WKT
Starbucks,POINT (-77.0565 38.86255)
Starbucks,POINT (-76.15821 40.16545)
Starbucks,POINT (-80.25071 26.26541)
Starbucks,POINT (-82.68343 41.4845)
Starbucks,POINT (-83.19178 42.51456)
Starbucks,POINT (-76.63493 39.46071)
Starbucks,POINT (-81.23625 35.47628)
Starbucks,POINT (-92.10317 46.78338)
Starbucks,POINT (-76.755 40.19495)
Starbucks,POINT (-73.98015 40.75546)
Starbucks,POINT (-74.42626 40.44206)
Starbucks,POINT (-119.17761 34.2426)
Starbucks,POINT (-81.94505 40.84632)
Starbucks,POINT (-122.37209 47.62982)
Starbucks,POINT (-74.01111 40.70872)
Starbucks,POINT (-89.57369 40.73228)
Starbucks,POINT (-93.21829 30.18446)
Starbucks,POINT (-97.75391 30.26978)
Starbucks,POINT (-104.81186 38.77618)
Starbucks,POINT (-96.61062 39.19118)
Starbucks,POINT (-97.97102 29.84634)
Starbucks,POINT (-122.55102 45.67665)
Starbucks,POINT (-95.51367 29.97986)
Starbucks,POINT (-75.66974 45.34283)
Starbucks,POINT (-75.92928 40.39788)
Starbucks,POINT (-83.64912 41.39195)
Starbucks,POINT (-73.97234 40.76307)
Starbucks,POINT (-117.55405 33.97799)
Starbucks,POINT (-74.37318 40.51632)
Starbucks,POINT (-82.83042 39.92898)
Starbucks,POINT (-111.96838 41.3042)
Starbucks,POINT (-122.03392 47.58329)
Starbucks,POINT (-123.18085 49.12401)
Starbucks,POINT (-120.60436 35.1303)
Starbucks,POINT (-82.44336 27.39056)
Starbucks,POINT (-85.51842 42.32568)
Starbucks,POINT (-77.43035 37.54035)
Starbucks,POINT (-104.78039 39.95634)
Starbucks,POINT (-100.43634 20.6752)
Starbucks,POINT (-86.20447 43.15252)
Starbucks,POINT (-98.85408 19.30041)
Starbucks,POINT (-96.98653 33.22619)
Starbucks,POINT (-102.36761 31.84962)
Starbucks,POINT (-117.7133 33.61226)
Starbucks,POINT (-118.4694 34.06448)
Starbucks,POINT (-119.77194 36.82447)
Starbucks,POINT (-124.10133 40.94036)
Starbucks,POINT (-83.2223 42.51086)
Starbucks,POINT (-73.42592 45.50264)
Starbucks,POINT (-81.97437 26.60673)
Starbucks,POINT (-74.06824 41.50559)
Starbucks,POINT (-122.04149 37.97385)
Starbucks,POINT (-86.30987 32.38015)
Starbucks,POINT (-87.6784 41.89559)
Starbucks,POINT (-118.39269 33.98816)
Starbucks,POINT (-73.32113 40.86383)
Starbucks,POINT (-121.88011 37.33667)
Starbucks,POINT (-85.24012 35.12492)
Starbucks,POINT (-83.80718 39.4464)
Starbucks,POINT (-79.8189 32.82299)
Starbucks,POINT (-122.59103 45.41568)
Starbucks,POINT (-111.92272 33.77945)
Starbucks,POINT (-81.38392 28.60605)
Starbucks,POINT (-118.07869 33.9994)
Starbucks,POINT (-80.81068 35.22025)
Starbucks,POINT (-75.15268 40.00441)
Starbucks,POINT (-74.01412 40.70328)
Starbucks,POINT (-100.35957 25.64691)
Starbucks,POINT (-122.20372 47.61585)
Starbucks,POINT (-122.33844 47.60837)
Starbucks,POINT (-99.18282 19.36254)
Starbucks,POINT (-88.90255 30.45596)
Starbucks,POINT (-83.22647 42.14104)
Starbucks,POINT (-86.4258 32.4735)
Starbucks,POINT (-83.15206 39.9839)
Starbucks,POINT (-80.85696 35.44199)
Starbucks,POINT (-99.08524 40.68519)
Starbucks,POINT (-84.34813 33.75618)
Starbucks,POINT (-79.87931 36.11188)
Starbucks,POINT (-97.56502 35.54749)
Starbucks,POINT (-95.53962 29.78281)
Starbucks,POINT (-95.5092 29.97969)
Starbucks,POINT (-88.20082 41.5922)
Starbucks,POINT (-116.83131 32.78641)
Starbucks,POINT (-93.25251 43.14999)
Starbucks,POINT (-121.48787 38.5716)
Starbucks,POINT (-97.61854 35.54876)
Starbucks,POINT (-94.65283 31.6222)
Starbucks,POINT (-80.98506 35.10033)
Starbucks,POINT (-118.18276 33.84102)
Starbucks,POINT (-122.79571 44.80573)
Starbucks,POINT (-122.09802 37.36141)
Starbucks,POINT (-73.96464 40.76747)
